id@sentence_id@language_id@translation_language_id@word_id@word_start_index@word_end_index@sentence_text
0@236@0@2@0@0@4@They should have surrendered when they had the chance!
1@236@0@2@1@5@11@They should have surrendered when they had the chance!
2@236@0@2@2@12@16@They should have surrendered when they had the chance!
3@236@0@2@3@17@28@They should have surrendered when they had the chance!
4@236@0@2@4@29@33@They should have surrendered when they had the chance!
5@236@0@2@0@34@38@They should have surrendered when they had the chance!
6@236@0@2@5@39@42@They should have surrendered when they had the chance!
7@236@0@2@6@43@46@They should have surrendered when they had the chance!
8@236@0@2@7@47@53@They should have surrendered when they had the chance!
9@237@0@2@8@0@2@So this means that the creatures of Area 18 have fallen, right?
10@237@0@2@9@3@7@So this means that the creatures of Area 18 have fallen, right?
11@237@0@2@10@8@13@So this means that the creatures of Area 18 have fallen, right?
12@237@0@2@11@14@18@So this means that the creatures of Area 18 have fallen, right?
13@237@0@2@6@19@22@So this means that the creatures of Area 18 have fallen, right?
14@237@0@2@12@23@32@So this means that the creatures of Area 18 have fallen, right?
15@237@0@2@13@33@35@So this means that the creatures of Area 18 have fallen, right?
16@237@0@2@14@36@40@So this means that the creatures of Area 18 have fallen, right?
17@237@0@2@2@44@48@So this means that the creatures of Area 18 have fallen, right?
18@237@0@2@15@49@55@So this means that the creatures of Area 18 have fallen, right?
19@237@0@2@16@57@62@So this means that the creatures of Area 18 have fallen, right?
20@238@0@2@17@0@5@Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
21@238@0@2@18@7@11@Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
22@238@0@2@2@12@16@Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
23@238@0@2@19@17@20@Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
24@238@0@2@20@21@30@Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
25@238@0@2@21@31@33@Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
26@238@0@2@22@34@36@Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
27@238@0@2@23@37@46@Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
28@238@0@2@24@47@49@Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
29@238@0@2@25@51@53@Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
30@238@0@2@26@54@58@Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
31@238@0@2@27@60@64@Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
32@238@0@2@28@65@72@Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
33@238@0@2@29@73@76@Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
34@238@0@2@30@77@81@Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
35@238@0@2@31@82@89@Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
36@239@0@2@14@0@4@Area 11 will be difficult to handle.
37@239@0@2@32@8@12@Area 11 will be difficult to handle.
38@239@0@2@33@13@15@Area 11 will be difficult to handle.
39@239@0@2@34@16@25@Area 11 will be difficult to handle.
40@239@0@2@35@26@28@Area 11 will be difficult to handle.
41@239@0@2@36@29@35@Area 11 will be difficult to handle.
42@240@0@2@37@0@1@I will find you, Zero... to avenge Clovis!
43@240@0@2@32@2@6@I will find you, Zero... to avenge Clovis!
44@240@0@2@38@7@11@I will find you, Zero... to avenge Clovis!
45@240@0@2@19@12@15@I will find you, Zero... to avenge Clovis!
46@240@0@2@39@17@21@I will find you, Zero... to avenge Clovis!
47@240@0@2@35@25@27@I will find you, Zero... to avenge Clovis!
